DateTime, Temperature, Humidity, Heating 1, Heating 2, Fan 1 Speed, Fan 2 Speed, Target Temperature
2016-04-17 21:33:11.315830,18.4443945313,55.276333252,1,1,20,10,23
2016-04-17 21:33:22.443927,18.4443945313,55.2534450684,1,1,20,10,23
2016-04-17 21:33:33.571795,18.4765698242,55.4642650146,1,1,20,10,23
2016-04-17 21:33:44.699656,18.4980200195,55.368300415,1,1,20,10,23
2016-04-17 21:33:55.827497,18.4980200195,55.9405050049,1,1,20,10,23
2016-04-17 21:34:06.955379,18.5194702148,55.3715179443,1,1,20,10,23
2016-04-17 21:34:18.083260,18.5623706055,55.2482532959,1,1,20,10,23
2016-04-17 21:34:29.211078,18.6052709961,54.7130013428,1,1,20,10,23
2016-04-17 21:34:40.338945,18.6159960937,54.9511213379,1,1,20,10,23
2016-04-17 21:34:51.466863,18.6374462891,54.6796806641,1,1,20,10,23
2016-04-17 21:35:02.594796,18.6588964844,54.7286745605,1,1,20,10,23
2016-04-17 21:35:13.722677,18.701796875,54.6664450684,1,1,20,10,23
2016-04-17 21:35:24.850555,18.701796875,54.7198508301,1,1,20,10,23
2016-04-17 21:35:35.978420,18.7446972656,54.9856853027,1,1,20,10,23
2016-04-17 21:35:47.106386,18.7768725586,54.7234827881,1,1,20,10,23
2016-04-17 21:35:58.234225,18.8090478516,54.7206796875,1,1,20,10,23
2016-04-17 21:36:09.362062,18.8090478516,54.4460214844,1,1,20,10,23
2016-04-17 21:36:20.489909,18.8197729492,54.935911499,1,1,20,10,23
2016-04-17 21:36:31.617717,18.8519482422,54.4982329102,1,1,20,10,23
2016-04-17 21:36:42.745693,18.8519482422,54.9865141602,1,1,20,10,23
2016-04-17 21:36:53.873547,18.8948486328,54.7335498047,1,1,20,10,23
2016-04-17 21:37:05.001367,18.8841235352,54.8921583252,1,1,20,10,23
2016-04-17 21:37:16.129273,18.9162988281,53.9967160645,1,1,20,10,23
2016-04-17 21:37:27.254206,18.9591992187,54.117592041,1,1,20,10,23
2016-04-17 21:37:38.382056,18.9806494141,54.6243496094,1,1,20,10,23
2016-04-17 21:37:49.509905,18.9913745117,54.5267762451,1,1,20,10,23
2016-04-17 21:38:00.637739,19.0020996094,53.9256628418,1,1,20,10,23
2016-04-17 21:38:11.765652,18.9913745117,54.36655896,1,1,20,10,23
2016-04-17 21:38:22.893545,18.9913745117,54.6641053467,1,1,20,10,23
2016-04-17 21:38:34.021374,19.0020996094,54.0019567871,1,1,20,10,23
2016-04-17 21:38:45.149244,19.0342749023,54.3272176514,1,1,20,10,23
2016-04-17 21:38:56.277075,19.0235498047,54.8596665039,1,1,20,10,23
2016-04-17 21:39:07.404990,19.012824707,55.0030162354,1,1,20,10,23
2016-04-17 21:39:18.532904,19.0342749023,54.4569173584,1,1,20,10,23
2016-04-17 21:39:29.660750,19.045,54.4203791504,1,1,20,10,23
2016-04-17 21:39:40.788554,19.0342749023,54.4035115967,1,1,20,10,23
2016-04-17 21:39:51.916415,19.077175293,54.1124002686,1,1,20,10,23
2016-04-17 21:40:03.044251,19.1200756836,53.8975828857,1,1,20,10,23
2016-04-17 21:40:14.172151,19.1308007812,54.4027316895,1,1,20,10,23
2016-04-17 21:40:25.299384,19.0986254883,54.6725635986,1,1,20,10,23
2016-04-17 21:40:36.427272,19.1308007812,54.2425144043,1,1,20,10,23
2016-04-17 21:40:47.555186,19.1629760742,54.1252703857,1,1,20,10,23
2016-04-17 21:40:58.683061,19.1629760742,54.2625994873,1,1,20,10,23
2016-04-17 21:41:09.810121,19.1737011719,53.9895500488,1,1,20,10,23
2016-04-17 21:41:20.937981,19.1844262695,53.9835294189,1,1,20,10,23
2016-04-17 21:41:32.065909,19.2058764648,53.4450599365,1,1,20,10,23
2016-04-17 21:41:43.193757,19.2166015625,54.621595459,1,1,20,10,23
2016-04-17 21:41:54.321566,19.2273266602,53.738194458,1,1,20,10,23
2016-04-17 21:42:05.449465,19.2166015625,54.2706433105,1,1,20,10,23
2016-04-17 21:42:16.577306,19.2595019531,53.9413850098,1,1,20,10,23
2016-04-17 21:42:27.705361,19.2702270508,54.0498052979,1,1,20,10,23
2016-04-17 21:42:38.833789,19.2702270508,54.1566168213,1,1,20,10,23
2016-04-17 21:42:49.961696,19.2702270508,54.6601568604,1,1,20,10,23
2016-04-17 21:43:01.089606,19.2702270508,54.1032110596,1,1,20,10,23
2016-04-17 21:43:12.217439,19.3024023437,53.9478200684,1,1,20,10,23
2016-04-17 21:43:23.345368,19.2916772461,54.3200516357,1,1,20,10,23
2016-04-17 21:43:34.473176,19.3345776367,53.8839818115,1,1,20,10,23
2016-04-17 21:43:45.601050,19.356027832,53.8337935791,1,1,20,10,23
2016-04-17 21:43:56.728866,19.3667529297,53.7133320312,1,1,20,10,23
2016-04-17 21:44:07.856809,19.3667529297,54.3923481445,1,1,20,10,23
2016-04-17 21:44:18.984049,19.3667529297,54.4381245117,1,1,20,10,23
2016-04-17 21:44:30.111875,19.388203125,53.7241789551,1,1,20,10,23
2016-04-17 21:44:41.239728,19.4096533203,53.2925209961,1,1,20,10,23
2016-04-17 21:44:52.367591,19.4096533203,53.6129555664,1,1,20,10,23
2016-04-17 21:45:03.495518,19.4096533203,53.879984375,1,1,20,10,23
2016-04-17 21:45:14.623299,19.4418286133,53.411788208,1,1,20,10,23
2016-04-17 21:45:25.751167,19.4740039062,53.2640266113,1,1,20,10,23
2016-04-17 21:45:36.878998,19.4847290039,53.7386578369,1,1,20,10,23
2016-04-17 21:45:48.006853,19.4954541016,53.976777832,1,1,20,10,23
2016-04-17 21:45:59.134810,19.4632788086,54.2160921631,1,1,20,10,23
2016-04-17 21:46:10.262658,19.4632788086,54.315274292,1,1,20,10,23
